dropout (first layer),dropout (second layer),dropout (output layer),Test Accuracy,Test Precision
0.15000000000000002,0.0,0.0,0.970867526723643,0.9723255992040948
0.15000000000000002,0.0,0.05,0.9709179463334244,0.972351893774187
0.15000000000000002,0.0,0.1,0.9709439535556107,0.9723525489857396
0.15000000000000002,0.0,0.15000000000000002,0.9708649516740181,0.9722485523831491
0.15000000000000002,0.0,0.2,0.970894192798377,0.9722639354903826
0.15000000000000002,0.05,0.0,0.9709386114640519,0.9722930880648936
0.15000000000000002,0.05,0.05,0.9708656530589272,0.9721687409004592
0.15000000000000002,0.05,0.1,0.9709093436477951,0.9721883175334752
0.15000000000000002,0.05,0.15000000000000002,0.9702800452069484,0.971540019689994
0.15000000000000002,0.05,0.2,0.9703205008640277,0.9715629193470405
0.15000000000000002,0.1,0.0,0.9703750001080798,0.9715922654555217
0.15000000000000002,0.1,0.05,0.9704164013294431,0.9716110840182116
0.15000000000000002,0.1,0.1,0.9703397725884546,0.9714961925416098
0.15000000000000002,0.1,0.15000000000000002,0.9703661673963178,0.971527685576109
0.15000000000000002,0.1,0.2,0.9704034200790449,0.9715556498482907
0.15000000000000002,0.15000000000000002,0.0,0.9704398583989565,0.9715741646846616
0.15000000000000002,0.15000000000000002,0.05,0.9704811045635588,0.9715953068986358
0.15000000000000002,0.15000000000000002,0.1,0.9705076171513712,0.9716126127155905
0.15000000000000002,0.15000000000000002,0.15000000000000002,0.9705335656415707,0.9716212241154473
0.15000000000000002,0.15000000000000002,0.2,0.970580659012212,0.9716471763318786
0.15000000000000002,0.2,0.0,0.9706187185304107,0.9716607826803169
0.15000000000000002,0.2,0.05,0.970568305834095,0.9715767884105542
0.15000000000000002,0.2,0.1,0.9705767869377878,0.9715701396554033
0.15000000000000002,0.2,0.15000000000000002,0.9706163342609916,0.97162611695392
0.15000000000000002,0.2,0.2,0.9706318987449352,0.9716222346351941
0.2,0.0,0.0,0.9706726704076271,0.9716549143709712
